,year,State,Race,Total population,Total citizen population,Total registered,Percent registered (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent registered (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Total voted,Percent voted (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent voted (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1
0,2010,US,Total,"229,690","210,800","137,263",59.8,0.3,0.3,0.3,0.3,65.1,0.3,0.3,0.3,0.3,"95,987",41.8,0.3,0.3,0.3,0.3,45.5,0.3,0.3,0.3,0.3
3,2010,US,White,"185,804","172,447","114,482",61.6,0.3,0.3,0.3,0.3,66.4,0.3,0.3,0.3,0.3,"80,554",43.4,0.3,0.3,0.3,0.3,46.7,0.3,0.3,0.3,0.3
5,2010,US,Black,"27,396","25,632","16,101",58.8,1,1,1,1.1,62.8,1,1,1,1.1,"11,149",40.7,1,1,1,1.1,43.5,1,1,1,1.1
7,2010,US,Hispanic,"32,457","21,285","10,982",33.8,1.2,1.5,1,1.4,51.6,1.2,1.5,1,1.4,"6,646",20.5,1.2,1.5,1,1.4,31.2,1.2,1.5,1,1.4
11,2010,ALABAMA,Total,"3,526","3,420","2,224",63.1,2.4,2.4,2.5,2.5,65,2.4,2.4,2.5,2.5,"1,509",42.8,2.4,2.4,2.5,2.5,44.1,2.4,2.4,2.5,2.5
14,2010,ALABAMA,White,"2,611","2,521","1,612",61.7,2.8,2.8,2.8,2.9,64,2.8,2.8,2.8,2.9,"1,097",42,2.8,2.8,2.8,2.9,43.5,2.8,2.8,2.8,2.9
16,2010,ALABAMA,Black,868,868,599,69,5.6,5.6,6,6,69,5.6,5.6,6,6,403,46.4,5.6,5.6,6,6,46.4,5.6,5.6,6,6
18,2010,ALABAMA,Hispanic,142,65,34,23.6,16.5,28.6,11.7,23.8,51.2,16.5,28.6,11.7,23.8,14,10.2,16.5,28.6,11.7,23.8,22.1,16.5,28.6,11.7,23.8
22,2010,ALASKA,Total,498,478,317,63.8,2.5,2.6,2.6,2.7,66.4,2.5,2.6,2.6,2.7,242,48.6,2.5,2.6,2.6,2.7,50.7,2.5,2.6,2.6,2.7
25,2010,ALASKA,White,385,375,262,68.2,2.8,2.8,3,3,70,2.8,2.8,3,3,209,54.3,2.8,2.8,3,3,55.7,2.8,2.8,3,3
27,2010,ALASKA,Black,24,24,13,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),7,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
29,2010,ALASKA,Hispanic,23,20,10,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),7,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
33,2010,ARIZONA,Total,"4,831","4,443","2,934",60.7,2.1,2.1,2.1,2.3,66,2.1,2.1,2.1,2.3,"2,170",44.9,2.1,2.1,2.1,2.3,48.8,2.1,2.1,2.1,2.3
36,2010,ARIZONA,White,"4,267","3,905","2,581",60.5,2.2,2.3,2.3,2.4,66.1,2.2,2.3,2.3,2.4,"1,936",45.4,2.2,2.3,2.3,2.4,49.6,2.2,2.3,2.3,2.4
38,2010,ARIZONA,Black,193,186,122,63.1,12.6,12.7,12.8,13.1,65.5,12.6,12.7,12.8,13.1,76,39.4,12.6,12.7,12.8,13.1,41,12.6,12.7,12.8,13.1
40,2010,ARIZONA,Hispanic,"1,389","1,061",610,43.9,6.3,7.2,5.8,7,57.5,6.3,7.2,5.8,7,407,29.3,6.3,7.2,5.8,7,38.3,6.3,7.2,5.8,7
44,2010,ARKANSAS,Total,"2,140","2,068","1,256",58.7,2.5,2.5,2.5,2.5,60.7,2.5,2.5,2.5,2.5,841,39.3,2.5,2.5,2.5,2.5,40.7,2.5,2.5,2.5,2.5
