"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2010",,,,,,,,,,,,,
"(Population 18 years and older, in thousands)",,,,,,,,,,,,,
,,,,,,,,,,,,,
STATE,,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error1,Total voted,"Percent voted
(Total)",Margin of Error1,"Percent voted
(Citizen)",Margin of Error1
US,Total,"229,690","210,800","137,263",59.8,0.3,65.1,0.3,"95,987",41.8,0.3,45.5,0.3
,Male,"111,098","101,279","64,337",57.9,0.4,63.5,0.4,"45,392",40.9,0.4,44.8,0.4
,Female,"118,592","109,521","72,926",61.5,0.4,66.6,0.4,"50,595",42.7,0.4,46.2,0.4
,White alone,"185,804","172,447","114,482",61.6,0.3,66.4,0.3,"80,554",43.4,0.3,46.7,0.3
,White non-Hispanic alone,"155,680","152,929","104,316",67,0.3,68.2,0.3,"74,372",47.8,0.4,48.6,0.4
,Black alone,"27,396","25,632","16,101",58.8,1,62.8,1,"11,149",40.7,1,43.5,1.1
,Asian alone,"11,049","7,639","3,765",34.1,1.6,49.3,2,"2,354",21.3,1.4,30.8,1.9
,Hispanic (of any race),"32,457","21,285","10,982",33.8,1.2,51.6,1.5,"6,646",20.5,1,31.2,1.4
,White alone or in combination,"188,616","175,090","116,115",61.6,0.3,66.3,0.3,"81,614",43.3,0.3,46.6,0.3
,Black alone or in combination,"28,414","26,602","16,684",58.7,1,62.7,1,"11,498",40.5,1,43.2,1
,Asian alone or in combination,"11,679","8,246","4,136",35.4,1.6,50.2,2,"2,615",22.4,1.4,31.7,1.8
ALABAMA,Total,"3,526","3,420","2,224",63.1,2.4,65,2.4,"1,509",42.8,2.5,44.1,2.5
,Male,"1,652","1,580",989,59.8,3.6,62.6,3.6,664,40.2,3.6,42,3.7
,Female,"1,873","1,840","1,235",65.9,3.2,67.1,3.2,845,45.1,3.4,45.9,3.4
,White alone,"2,611","2,521","1,612",61.7,2.8,64,2.8,"1,097",42,2.8,43.5,2.9
,White non-Hispanic alone,"2,485","2,471","1,595",64.2,2.8,64.5,2.8,"1,086",43.7,2.9,44,2.9
,Black alone,868,868,599,69,5.6,69,5.6,403,46.4,6,46.4,6
,Asian alone,31,16,4,(B),(B),(B),(B),4,(B),(B),(B),(B)
,Hispanic (of any race),142,65,34,23.6,16.5,51.2,28.6,14,10.2,11.7,22.1,23.8
,White alone or in combination,"2,621","2,531","1,616",61.6,2.8,63.8,2.8,"1,097",41.9,2.8,43.4,2.9
,Black alone or in combination,868,868,599,69,5.6,69,5.6,403,46.4,6,46.4,6
