Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2014",,,,,,,,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,,,,,,,
State,Race and Hispanic origin,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,,,,,,,
UNITED STATES,Total,"239,874","219,941","142,166",59.3,0.3,64.6,0.3,"92,251",38.5,0.3,41.9,0.3,,,,,,,
,Male,"115,637","105,299","66,147",57.2,0.4,62.8,0.4,"43,009",37.2,0.4,40.8,0.4,,,,,,,
,Female,"124,237","114,642","76,019",61.2,0.4,66.3,0.4,"49,243",39.6,0.4,43.0,0.4,,,,,,,
,White alone,"189,331","175,909","115,998",61.3,0.3,65.9,0.3,"76,366",40.3,0.3,43.4,0.3,,,,,,,
,.White non-Hispanic alone,"156,438","153,750","104,664",66.9,0.3,68.1,0.3,"70,351",45.0,0.4,45.8,0.4,,,,,,,
,Black alone,"29,668","27,908","17,700",59.7,1.0,63.4,1.0,"11,078",37.3,1.0,39.7,1.0,,,,,,,
,Asian alone,"13,495","9,504","4,642",34.4,1.5,48.8,1.8,"2,575",19.1,1.2,27.1,1.6,,,,,,,
,Hispanic (of any race),"36,802","25,092","12,862",34.9,1.1,51.3,1.4,"6,775",18.4,0.9,27.0,1.2,,,,,,,
,White alone or in combination,"192,804","179,103","117,978",61.2,0.3,65.9,0.3,"77,472",40.2,0.3,43.3,0.3,,,,,,,
,Black alone or in combination,"31,078","29,222","18,422",59.3,0.9,63.0,1.0,"11,469",36.9,0.9,39.2,1.0,,,,,,,
,Asian alone or in combination,"14,367","10,332","5,166",36.0,1.4,50.0,1.7,"2,883",20.1,1.2,27.9,1.6,,,,,,,
ALABAMA,Total,"3,656","3,519","2,366",64.7,2.4,67.2,2.4,"1,497",40.9,2.4,42.5,2.5,,,,,,,
,Male,"1,734","1,642","1,063",61.3,3.5,64.7,3.5,677,39.0,3.5,41.2,3.6,,,,,,,
,Female,"1,922","1,877","1,303",67.8,3.2,69.4,3.2,820,42.6,3.4,43.7,3.4,,,,,,,
,White alone,"2,586","2,503","1,700",65.8,2.8,67.9,2.8,"1,045",40.4,2.9,41.8,2.9,,,,,,,
,.White non-Hispanic alone,"2,478","2,473","1,686",68.0,2.8,68.2,2.8,"1,045",42.2,3.0,42.3,3.0,,,,,,,
,Black alone,922,910,596,64.6,5.7,65.4,5.7,414,44.9,5.9,45.5,6.0,,,,,,,
,Asian alone,51,23,17,(B),(B),(B),(B),9,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),136,41,17,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"2,660","2,572","1,746",65.6,2.7,67.9,2.7,"1,071",40.2,2.8,41.6,2.9,,,,,,,
,Black alone or in combination,937,925,604,64.5,5.6,65.3,5.7,414,44.2,5.9,44.8,5.9,,,,,,,
,Asian alone or in combination,51,23,17,(B),(B),(B),(B),9,(B),(B),(B),(B),,,,,,,
ALASKA,Total,521,503,336,64.6,2.5,66.8,2.5,255,49.0,2.6,50.7,2.7,,,,,,,
,Male,264,256,168,63.8,3.5,65.7,3.5,128,48.4,3.7,49.9,3.7,,,,,,,
,Female,257,247,168,65.4,3.5,68.0,3.5,127,49.6,3.7,51.5,3.8,,,,,,,
,White alone,340,331,234,68.9,3.0,70.7,3.0,188,55.5,3.2,56.9,3.2,,,,,,,
,.White non-Hispanic alone,318,312,223,70.1,3.1,71.4,3.0,181,56.8,3.3,57.8,3.3,,,,,,,
,Black alone,18,18,9,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Asian alone,28,21,8,(B),(B),(B),(B),7,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),28,24,12,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
,White alone or in combination,360,350,245,68.2,2.9,70.0,2.9,196,54.6,3.1,56.1,3.2,,,,,,,
,Black alone or in combination,21,20,11,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,32,25,11,(B),(B),(B),(B),9,(B),(B),(B),(B),,,,,,,
ARIZONA,Total,"4,994","4,397","2,738",54.8,2.1,62.3,2.2,"1,785",35.7,2.1,40.6,2.2,,,,,,,
