"Table with row headers in columns A and B, and column headers in rows 4 through 5.",,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States:  November 2018",,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,
STATE,"Sex, Race, and Hispanic-Origin",Total population,Total citizen population,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
US,Total,"249,748","228,832","153,066",61.3,0.3,66.9,0.3,"122,281",49,0.3,53.4,0.3
,Male,"120,573","110,006","71,726",59.5,0.4,65.2,0.4,"56,964",47.2,0.4,51.8,0.5
,Female,"129,176","118,826","81,340",63,0.4,68.5,0.4,"65,317",50.6,0.4,55,0.4
,White alone,"194,127","180,522","123,727",63.7,0.3,68.5,0.3,"99,255",51.1,0.3,55,0.4
,White non-Hispanic alone,"157,610","154,982","110,054",69.8,0.4,71,0.4,"89,075",56.5,0.4,57.5,0.4
,Black alone,"31,623","29,758","19,023",60.2,1,63.9,1,"15,194",48,1,51.1,1.1
,Asian alone,"15,659","11,128","5,898",37.7,1.5,53,1.8,"4,519",28.9,1.4,40.6,1.8
,Hispanic (of any race),"41,049","28,955","15,558",37.9,1.2,53.7,1.4,"11,695",28.5,1.1,40.4,1.4
,White alone or in combination,"198,477","184,394","126,194",63.6,0.3,68.4,0.3,"101,115",50.9,0.3,54.8,0.4
,Black alone or in combination,"33,595","31,422","20,015",59.6,1,63.7,1,"15,887",47.3,1,50.6,1.1
,Asian alone or in combination,"16,733","12,170","6,595",39.4,1.5,54.2,1.8,"5,080",30.4,1.4,41.7,1.7
ALABAMA,Total,"3,753","3,609","2,490",66.4,2.5,69,2.5,"1,830",48.8,2.7,50.7,2.7
,Male,"1,772","1,681","1,122",63.3,3.7,66.7,3.8,821,46.3,3.9,48.8,4
,Female,"1,982","1,927","1,368",69,3.4,71,3.4,"1,010",50.9,3.7,52.4,3.7
,White alone,"2,610","2,534","1,774",68,3,70,3,"1,309",50.1,3.2,51.6,3.2
,White non-Hispanic alone,"2,494","2,470","1,760",70.6,3,71.3,3,"1,298",52.1,3.3,52.6,3.3
,Black alone,976,975,657,67.2,5.9,67.4,5.9,483,49.4,6.3,49.5,6.3
,Asian alone,61,37,13,B,B,B,B,7,B,B,B,B
,Hispanic (of any race),169,77,26,15.6,14.3,34.3,27.8,22,13.2,13.4,29.1,26.6
,White alone or in combination,"2,636","2,561","1,796",68.1,3,70.1,3,"1,322",50.2,3.2,51.6,3.2
,Black alone or in combination,979,977,659,67.3,5.9,67.4,5.9,485,49.6,6.3,49.6,6.3
,Asian alone or in combination,61,37,13,B,B,B,B,7,B,B,B,B
ALASKA,Total,523,497,337,64.4,2.7,67.7,2.7,263,50.2,2.9,52.8,2.9
,Male,265,255,175,65.9,3.8,68.4,3.8,133,50.2,4,52.1,4.1
,Female,258,242,162,62.9,3.9,67.1,3.9,130,50.2,4.1,53.6,4.2
,White alone,330,324,236,71.6,3.2,73,3.2,193,58.6,3.5,59.7,3.6
,White non-Hispanic alone,314,310,229,73,3.3,73.9,3.3,187,59.5,3.6,60.3,3.6
,Black alone,16,15,9,B,B,B,B,8,B,B,B,B
,Asian alone,55,37,23,B,B,B,B,15,B,B,B,B
,Hispanic (of any race),20,18,10,B,B,B,B,8,B,B,B,B
,White alone or in combination,356,350,255,71.6,3.1,72.9,3.1,210,59,3.4,60.1,3.4
,Black alone or in combination,18,17,11,B,B,B,B,9,B,B,B,B
,Asian alone or in combination,60,42,25,B,B,B,B,18,B,B,B,B
ARIZONA,Total,"5,361","4,757","3,262",60.8,2.2,68.6,2.2,"2,800",52.2,2.3,58.9,2.4
,Male,"2,606","2,259","1,539",59,3.2,68.1,3.2,"1,288",49.4,3.2,57,3.5
,Female,"2,755","2,497","1,723",62.5,3.1,69,3.1,"1,512",54.9,3.1,60.6,3.2
,White alone,"4,635","4,168","2,968",64,2.3,71.2,2.3,"2,535",54.7,2.4,60.8,2.5
,White non-Hispanic alone,"3,128","3,065","2,272",72.6,2.6,74.1,2.6,"2,000",63.9,2.8,65.3,2.8
,Black alone,257,222,114,44.4,12.4,51.5,13.5,104,40.6,12.3,47,13.4
,Asian alone,198,106,63,32,13.9,59.8,20,59,30,13.6,56.1,20.2
,Hispanic (of any race),"1,624","1,205",757,46.6,6.4,62.8,7.2,588,36.2,6.2,48.8,7.5
,White alone or in combination,"4,688","4,216","2,996",63.9,2.3,71.1,2.3,"2,563",54.7,2.4,60.8,2.5
,Black alone or in combination,280,239,132,47,12,55,12.9,122,43.5,11.9,50.9,13
,Asian alone or in combination,209,117,71,34,13.7,60.8,18.9,67,32.1,13.5,57.4,19.1
ARKANSAS,Total,"2,261","2,158","1,262",55.8,2.7,58.5,2.8,919,40.6,2.7,42.6,2.8
,Male,"1,093","1,034",602,55.1,4,58.3,4,431,39.4,3.9,41.7,4
,Female,"1,169","1,125",660,56.5,3.8,58.7,3.9,488,41.8,3.8,43.4,3.9
,White alone,"1,833","1,765","1,031",56.2,3,58.4,3.1,756,41.3,3,42.8,3.1
,White non-Hispanic alone,"1,678","1,676",995,59.3,3.2,59.3,3.2,737,43.9,3.2,44,3.2
,Black alone,327,317,178,54.5,8.8,56.1,8.9,132,40.3,8.6,41.6,8.8
,Asian alone,37,19,9,B,B,B,B,6,B,B,B,B
,Hispanic (of any race),172,102,43,25.2,13.7,42.3,20.2,21,12.3,10.4,20.8,16.6
,White alone or in combination,"1,878","1,805","1,061",56.5,3,58.7,3,771,41.1,3,42.7,3.1
,Black alone or in combination,336,325,184,54.7,8.6,56.6,8.8,135,40.2,8.5,41.6,8.7
,Asian alone or in combination,53,31,18,B,B,B,B,7,B,B,B,B
CALIFORNIA,Total,"30,243","25,525","15,690",51.9,1,61.5,1,"13,240",43.8,0.9,51.9,1
,Male,"14,767","12,449","7,372",49.9,1.4,59.2,1.5,"6,205",42,1.3,49.8,1.5
,Female,"15,476","13,076","8,318",53.8,1.3,63.6,1.4,"7,035",45.5,1.3,53.8,1.4
,White alone,"21,467","18,311","11,711",54.6,1.1,64,1.2,"10,005",46.6,1.1,54.6,1.2
,White non-Hispanic alone,"11,986","11,587","8,005",66.8,1.4,69.1,1.4,"7,116",59.4,1.5,61.4,1.5
,Black alone,"1,912","1,845","1,061",55.5,4.6,57.5,4.6,933,48.8,4.6,50.6,4.7
,Asian alone,"5,222","3,983","2,061",39.5,2.8,51.7,3.3,"1,620",31,2.7,40.7,3.3
,Hispanic (of any race),"10,595","7,613","4,211",39.7,2.5,55.3,3,"3,300",31.1,2.3,43.3,3
,White alone or in combination,"22,303","19,010","12,125",54.4,1.1,63.8,1.2,"10,332",46.3,1.1,54.3,1.2
,Black alone or in combination,"2,094","1,999","1,154",55.1,4.4,57.7,4.4,998,47.6,4.4,49.9,4.5
,Asian alone or in combination,"5,571","4,320","2,278",40.9,2.8,52.7,3.2,"1,795",32.2,2.6,41.5,3.1
COLORADO,Total,"4,353","4,029","2,645",60.8,2.5,65.6,2.5,"2,342",53.8,2.5,58.1,2.6
,Male,"2,171","2,004","1,315",60.6,3.5,65.6,3.5,"1,144",52.7,3.6,57.1,3.7
,Female,"2,182","2,025","1,330",61,3.5,65.7,3.5,"1,198",54.9,3.5,59.2,3.6
,White alone,"3,911","3,666","2,439",62.4,2.6,66.5,2.6,"2,185",55.9,2.6,59.6,2.7
,White non-Hispanic alone,"3,136","3,107","2,141",68.3,2.8,68.9,2.8,"1,945",62,2.9,62.6,2.9
,Black alone,185,170,73,39.6,14.5,43.1,15.3,51,27.8,13.3,30.3,14.2
,Asian alone,156,93,75,47.7,16.8,80.6,17.3,66,42.3,16.6,71.5,19.7
,Hispanic (of any race),806,590,323,40.1,9,54.8,10.7,259,32.1,8.6,43.9,10.7
,White alone or in combination,"3,998","3,753","2,486",62.2,2.6,66.2,2.6,"2,213",55.4,2.6,59,2.7
,Black alone or in combination,219,204,88,40.3,13.3,43.3,14,63,28.8,12.3,31,13
,Asian alone or in combination,185,121,89,48.3,15.5,73.8,16.8,73,39.2,15.1,60,18.7
CONNECTICUT,Total,"2,834","2,539","1,726",60.9,2.6,68,2.7,"1,370",48.3,2.7,54,2.9
,Male,"1,365","1,222",804,58.9,3.8,65.8,3.9,662,48.5,3.9,54.2,4.1
,Female,"1,469","1,316",921,62.7,3.6,70,3.6,708,48.2,3.8,53.8,4
,White alone,"2,326","2,141","1,483",63.8,2.9,69.3,2.9,"1,193",51.3,3,55.7,3.1
,White non-Hispanic alone,"1,934","1,888","1,347",69.7,3,71.3,3,"1,090",56.4,3.3,57.7,3.3
,Black alone,319,258,158,49.6,9.8,61.3,10.6,124,39,9.5,48.2,10.9
,Asian alone,142,100,51,36.1,14.7,51.4,18.2,38,26.5,13.5,37.7,17.7
,Hispanic (of any race),464,293,164,35.3,10.1,55.9,13.2,120,25.9,9.2,41.1,13
,White alone or in combination,"2,356","2,171","1,506",63.9,2.9,69.4,2.9,"1,201",51,3,55.3,3.1
,Black alone or in combination,335,274,174,51.9,9.5,63.5,10.2,132,39.5,9.3,48.3,10.5
,Asian alone or in combination,154,112,59,38.4,14.3,52.9,17.2,38,24.5,12.7,33.7,16.3
DELAWARE,Total,756,713,472,62.4,2.6,66.3,2.6,369,48.8,2.7,51.8,2.8
,Male,359,334,215,59.8,3.8,64.3,3.9,167,46.4,3.9,49.9,4
,Female,397,379,258,64.8,3.5,68,3.5,202,50.9,3.7,53.4,3.8
,White alone,540,513,340,62.9,3.1,66.2,3.1,264,48.8,3.2,51.4,3.3
,White non-Hispanic alone,477,468,316,66.3,3.2,67.6,3.2,247,51.7,3.4,52.7,3.4
,Black alone,163,159,109,66.5,6.6,68.2,6.6,90,54.8,7,56.2,7
,Asian alone,41,28,15,B,B,B,B,11,B,B,B,B
,Hispanic (of any race),73,52,27,B,B,B,B,20,B,B,B,B
,White alone or in combination,548,521,346,63.2,3,66.5,3.1,266,48.6,3.2,51.1,3.2
